trial,run_seed,problem_size,algorithm,cost_km,runtime_s
5,7,50,LKH Algorithm,2341.54,0.35
5,8,50,Nearest Neighbor,3216.94,0.0
5,8,50,Ant Colony Optimization,2951.85,6.88
5,8,50,Lib Optimization,11531.49,0.68
5,8,50,LKH Algorithm,2341.54,0.35
5,9,50,Nearest Neighbor,3216.94,0.0
5,9,50,Ant Colony Optimization,2927.31,6.86
5,9,50,Lib Optimization,9172.96,0.76
5,9,50,LKH Algorithm,2341.54,0.35
6,0,50,Nearest Neighbor,5535.29,0.0
6,0,50,Ant Colony Optimization,3340.37,6.85
6,0,50,Lib Optimization,9453.91,0.7
6,0,50,LKH Algorithm,2405.04,0.37
6,1,50,Nearest Neighbor,5535.29,0.0
6,1,50,Ant Colony Optimization,3274.66,6.85
6,1,50,Lib Optimization,11656.06,0.96
6,1,50,LKH Algorithm,2405.04,0.37
6,2,50,Nearest Neighbor,5535.29,0.0
6,2,50,Ant Colony Optimization,3119.99,6.84
6,2,50,Lib Optimization,11610.77,1.04
6,2,50,LKH Algorithm,2405.04,0.37
6,3,50,Nearest Neighbor,5535.29,0.0
6,3,50,Ant Colony Optimization,3075.21,6.84
6,3,50,Lib Optimization,11960.67,0.86
6,3,50,LKH Algorithm,2405.04,0.37
6,4,50,Nearest Neighbor,5535.29,0.0
6,4,50,Ant Colony Optimization,2936.8,6.85
6,4,50,Lib Optimization,10919.56,0.85
6,4,50,LKH Algorithm,2405.04,0.37
6,5,50,Nearest Neighbor,5535.29,0.0
6,5,50,Ant Colony Optimization,3164.69,6.86
6,5,50,Lib Optimization,12530.23,0.67
6,5,50,LKH Algorithm,2405.04,0.37
6,6,50,Nearest Neighbor,5535.29,0.0
6,6,50,Ant Colony Optimization,2696.4,6.86
6,6,50,Lib Optimization,9483.01,0.78
6,6,50,LKH Algorithm,2405.04,0.37
6,7,50,Nearest Neighbor,5535.29,0.0
6,7,50,Ant Colony Optimization,3235.05,6.84
6,7,50,Lib Optimization,11745.78,0.86
6,7,50,LKH Algorithm,2405.04,0.37
6,8,50,Nearest Neighbor,5535.29,0.0
6,8,50,Ant Colony Optimization,2950.46,6.86
6,8,50,Lib Optimization,11318.5,0.41
6,8,50,LKH Algorithm,2405.04,0.37
6,9,50,Nearest Neighbor,5535.29,0.0
6,9,50,Ant Colony Optimization,2944.78,6.86
6,9,50,Lib Optimization,12342.56,0.76
6,9,50,LKH Algorithm,2405.04,0.37
7,0,50,Nearest Neighbor,5382.83,0.0
7,0,50,Ant Colony Optimization,3162.17,6.85
7,0,50,Lib Optimization,15184.08,0.75
7,0,50,LKH Algorithm,2588.56,0.37
7,1,50,Nearest Neighbor,5382.83,0.0
7,1,50,Ant Colony Optimization,3009.23,6.84
7,1,50,Lib Optimization,9537.42,0.78
7,1,50,LKH Algorithm,2588.56,0.37
7,2,50,Nearest Neighbor,5382.83,0.0
7,2,50,Ant Colony Optimization,2987.34,6.87
7,2,50,Lib Optimization,17957.75,1.37
7,2,50,LKH Algorithm,2588.56,0.38
7,3,50,Nearest Neighbor,5382.83,0.0
7,3,50,Ant Colony Optimization,3118.39,6.86
7,3,50,Lib Optimization,12662.92,0.96
7,3,50,LKH Algorithm,2588.56,0.37
7,4,50,Nearest Neighbor,5382.83,0.0
7,4,50,Ant Colony Optimization,3039.58,6.87
7,4,50,Lib Optimization,15423.78,0.24
7,4,50,LKH Algorithm,2588.56,0.38
7,5,50,Nearest Neighbor,5382.83,0.0
7,5,50,Ant Colony Optimization,2967.19,6.85
7,5,50,Lib Optimization,10569.75,0.87
7,5,50,LKH Algorithm,2588.56,0.38
7,6,50,Nearest Neighbor,5382.83,0.0
7,6,50,Ant Colony Optimization,3263.0,6.84
7,6,50,Lib Optimization,9684.78,0.7
7,6,50,LKH Algorithm,2588.56,0.38
7,7,50,Nearest Neighbor,5382.83,0.0
7,7,50,Ant Colony Optimization,3131.27,6.86
7,7,50,Lib Optimization,13066.96,0.97
7,7,50,LKH Algorithm,2588.56,0.38
7,8,50,Nearest Neighbor,5382.83,0.0
7,8,50,Ant Colony Optimization,3152.23,6.85
7,8,50,Lib Optimization,9407.76,1.21
7,8,50,LKH Algorithm,2588.56,0.37
7,9,50,Nearest Neighbor,5382.83,0.0
7,9,50,Ant Colony Optimization,3174.2,6.79
7,9,50,Lib Optimization,17031.29,0.72
7,9,50,LKH Algorithm,2588.56,0.37
8,0,50,Nearest Neighbor,18082.69,0.0
8,0,50,Ant Colony Optimization,3088.46,6.76
8,0,50,Lib Optimization,8722.1,0.84
8,0,50,LKH Algorithm,2714.36,0.38
8,1,50,Nearest Neighbor,18082.69,0.0
8,1,50,Ant Colony Optimization,3222.74,6.75
8,1,50,Lib Optimization,11062.28,0.85
8,1,50,LKH Algorithm,2714.36,0.38
8,2,50,Nearest Neighbor,18082.69,0.0
8,2,50,Ant Colony Optimization,3368.6,6.72
8,2,50,Lib Optimization,9954.48,0.76
8,2,50,LKH Algorithm,2714.36,0.38
8,3,50,Nearest Neighbor,18082.69,0.0
8,3,50,Ant Colony Optimization,3051.09,6.61
8,3,50,Lib Optimization,8770.45,0.64
8,3,50,LKH Algorithm,2714.36,0.38
8,4,50,Nearest Neighbor,18082.69,0.0
8,4,50,Ant Colony Optimization,3420.15,6.59
8,4,50,Lib Optimization,8840.51,0.79
8,4,50,LKH Algorithm,2714.36,0.38
8,5,50,Nearest Neighbor,18082.69,0.0
8,5,50,Ant Colony Optimization,2958.97,6.59
8,5,50,Lib Optimization,12096.97,1.0
8,5,50,LKH Algorithm,2714.36,0.38
8,6,50,Nearest Neighbor,18082.69,0.0
8,6,50,Ant Colony Optimization,2994.41,6.59
8,6,50,Lib Optimization,10132.34,0.93
8,6,50,LKH Algorithm,2714.36,0.38
8,7,50,Nearest Neighbor,18082.69,0.0
8,7,50,Ant Colony Optimization,3125.98,6.64
8,7,50,Lib Optimization,12826.37,0.91
8,7,50,LKH Algorithm,2714.36,0.38
8,8,50,Nearest Neighbor,18082.69,0.0
8,8,50,Ant Colony Optimization,3393.91,6.66
8,8,50,Lib Optimization,7942.24,0.83
8,8,50,LKH Algorithm,2714.36,0.38
8,9,50,Nearest Neighbor,18082.69,0.0
